"","order_date","ship_date","ship_mode","customer_name","segment","country","city","state","postal_code","region","category","sub_category","product_name","sales","quantity","discount","profit","profit_ratio","days_to_ship","revenue"
"14",2016-12-05,2016-12-10,"Standard Class","Irene Maddox","Consumer","United States","Seattle","Washington",98103,"west","office supplies","binders","Fellowes PB200 Plastic Comb Binding Machine",407.976,3,0.2,132.5922,32,5,326.3808
"15",2015-11-22,2015-11-26,"Standard Class","Harold Pawlan","Home Office","United States","Fort Worth","Texas",76106,"central","office supplies","appliances","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,-180,4,13.762
"16",2015-11-22,2015-11-26,"Standard Class","Harold Pawlan","Home Office","United States","Fort Worth","Texas",76106,"central","office supplies","binders","Storex DuraTech Recycled Plastic Frosted Binders",2.544,3,0.8,-3.816,-150,4,0.5088
"17",2014-11-11,2014-11-18,"Standard Class","Pete Kriz","Consumer","United States","Madison","Wisconsin",53711,"central","office supplies","storage","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176,2,7,665.88
"18",2014-05-13,2014-05-15,"Second Class","Alejandro Grove","Consumer","United States","West Jordan","Utah",84084,"west","office supplies","storage","Fellowes Super Stor/Drawer",55.5,2,0,9.99,18,2,55.5
"19",2014-08-27,2014-09-01,"Second Class","Zuschuss Donatelli","Consumer","United States","San Francisco","California",94109,"west","office supplies","art","Newell 341",8.56,2,0,2.4824,29,5,8.56
"20",2014-08-27,2014-09-01,"Second Class","Zuschuss Donatelli","Consumer","United States","San Francisco","California",94109,"west","technology","phones","Cisco SPA 501G IP Phone",213.48,3,0.2,16.011,7,5,170.784
"21",2014-08-27,2014-09-01,"Second Class","Zuschuss Donatelli","Consumer","United States","San Francisco","California",94109,"west","office supplies","binders","Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,32,5,18.176
"22",2016-12-09,2016-12-13,"Standard Class","Ken Black","Corporate","United States","Fremont","Nebraska",68025,"central","office supplies","art","Newell 318",19.46,7,0,5.0596,26,4,19.46
"23",2016-12-09,2016-12-13,"Standard Class","Ken Black","Corporate","United States","Fremont","Nebraska",68025,"central","office supplies","appliances","Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,26,4,60.34
"24",2017-07-16,2017-07-18,"Second Class","Sandra Flanagan","Consumer","United States","Philadelphia","Pennsylvania",19140,"east","furniture","chairs","Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,-1,2,49.9604
"25",2015-09-25,2015-09-30,"Standard Class","Emily Burns","Consumer","United States","Orem","Utah",84057,"west","furniture","tables","Bretford CR4500 Series Slim Rectangular Table",1044.63,3,0,240.2649,23,5,1044.63
"26",2016-01-16,2016-01-20,"Second Class","Eric Hoffmann","Consumer","United States","Los Angeles","California",90049,"west","office supplies","binders","Wilson Jones Active Use Binders",11.648,2,0.2,4.2224,36,4,9.3184
"27",2016-01-16,2016-01-20,"Second Class","Eric Hoffmann","Consumer","United States","Los Angeles","California",90049,"west","technology","accessories","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,3,0,11.7741,13,4,90.57
"28",2015-09-17,2015-09-21,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"east","furniture","bookcases","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,-54,4,1541.715
"29",2015-09-17,2015-09-21,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"east","office supplies","binders","Avery Recycled Flexi-View Covers for Binding Systems",9.618,2,0.7,-7.0532,-73,4,2.8854
"30",2015-09-17,2015-09-21,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"east","furniture","furnishings","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,12,4,99.36
"31",2015-09-17,2015-09-21,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"east","office supplies","envelopes","Poly String Tie Envelopes",3.264,2,0.2,1.1016,34,4,2.6112
"32",2015-09-17,2015-09-21,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"east","office supplies","art","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,11,4,69.0432
"33",2015-09-17,2015-09-21,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"east","office supplies","binders","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,-83,4,2.0574
"34",2015-09-17,2015-09-21,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"east","office supplies","art","Lumber Crayons",15.76,2,0.2,3.546,22,4,12.608
"35",2017-10-19,2017-10-23,"Second Class","Matt Abelman","Home Office","United States","Houston","Texas",77095,"central","office supplies","paper","Easy-staple paper",29.472,3,0.2,9.9468,34,4,23.5776
"36",2016-12-08,2016-12-10,"First Class","Gene Hale","Corporate","United States","Richardson","Texas",75080,"central","technology","phones","GE 30524EE4",1097.544,7,0.2,123.4737,11,2,878.0352
"37",2016-12-08,2016-12-10,"First Class","Gene Hale","Corporate","United States","Richardson","Texas",75080,"central","furniture","furnishings","Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,-78,2,76.368
"38",2015-12-27,2015-12-31,"Standard Class","Steve Nguyen","Home Office","United States","Houston","Texas",77041,"central","office supplies","envelopes","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,31,4,90.6624
"39",2015-12-27,2015-12-31,"Standard Class","Steve Nguyen","Home Office","United States","Houston","Texas",77041,"central","furniture","bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,-9,4,362.031456
"40",2015-12-27,2015-12-31,"Standard Class","Steve Nguyen","Home Office","United States","Houston","Texas",77041,"central","furniture","chairs","Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,-7,4,148.4406
"41",2015-12-27,2015-12-31,"Standard Class","Steve Nguyen","Home Office","United States","Houston","Texas",77041,"central","technology","phones","Plantronics HL10 Handset Lifter",371.168,4,0.2,41.7564,11,4,296.9344
"42",2017-09-10,2017-09-15,"Standard Class","Linda Cazamias","Corporate","United States","Naperville","Illinois",60540,"central","technology","phones","Panasonic Kx-TS550",147.168,4,0.2,16.5564,11,5,117.7344
"43",2016-07-17,2016-07-22,"Standard Class","Ruben Ausman","Corporate","United States","Los Angeles","California",90049,"west","office supplies","storage","Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894,5,5,77.88
"44",2017-09-19,2017-09-23,"Standard Class","Erin Smith","Corporate","United States","Melbourne","Florida",32935,"south","office supplies","storage","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,10,4,76.4928
"45",2016-03-11,2016-03-13,"First Class","Odella Nelson","Corporate","United States","Eagan","Minnesota",55122,"central","technology","accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714,43,2,45.98
"46",2016-03-11,2016-03-13,"First Class","Odella Nelson","Corporate","United States","Eagan","Minnesota",55122,"central","office supplies","binders","Wilson Jones Leather-Like Binders with DublLock Round Rings",17.46,2,0,8.2062,47,2,17.46
"47",2014-10-20,2014-10-25,"Second Class","Patrick O'Donnell","Consumer","United States","Westland","Michigan",48185,"central","office supplies","storage","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784,4,5,211.96
"48",2016-06-20,2016-06-25,"Standard Class","Lena Hernandez","Consumer","United States","Dover","Delaware",19901,"east","technology","accessories","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",45,3,0,4.95,11,5,45
"49",2016-06-20,2016-06-25,"Standard Class","Lena Hernandez","Consumer","United States","Dover","Delaware",19901,"east","technology","phones","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,28,5,21.8
"50",2015-04-18,2015-04-22,"Standard Class","Darren Powers","Consumer","United States","New Albany","Indiana",47150,"central","office supplies","binders","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634,47,4,38.22
"51",2015-04-18,2015-04-22,"Standard Class","Darren Powers","Consumer","United States","New Albany","Indiana",47150,"central","office supplies","labels","Avery 485",75.18,6,0,35.3346,47,4,75.18
"52",2015-04-18,2015-04-22,"Standard Class","Darren Powers","Consumer","United States","New Albany","Indiana",47150,"central","furniture","furnishings","Longer-Life Soft White Bulbs",6.16,2,0,2.9568,48,4,6.16
"53",2015-04-18,2015-04-22,"Standard Class","Darren Powers","Consumer","United States","New Albany","Indiana",47150,"central","furniture","chairs","Global Leather Task Chair, Black",89.99,1,0,17.0981,19,4,89.99
"54",2016-12-11,2016-12-17,"Standard Class","Janet Molinari","Corporate","United States","New York City","New York",10024,"east","office supplies","fasteners","Advantus Push Pins",15.26,7,0,6.2566,41,6,15.26
"55",2016-12-11,2016-12-17,"Standard Class","Janet Molinari","Corporate","United States","New York City","New York",10024,"east","technology","phones","AT&T CL83451 4-Handset Telephone",1029.95,5,0,298.6855,29,6,1029.95
"56",2016-06-17,2016-06-18,"First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"east","office supplies","storage","Home/Office Personal File Carts",208.56,6,0,52.14,25,1,208.56
"57",2016-06-17,2016-06-18,"First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"east","office supplies","paper","Xerox 232",32.4,5,0,15.552,48,1,32.4
"58",2016-06-17,2016-06-18,"First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"east","furniture","chairs","Novimex Turbo Task Chair",319.41,5,0.1,7.098,2,1,287.469
"59",2016-06-17,2016-06-18,"First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"east","office supplies","paper","Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,48,1,14.56
"60",2016-06-17,2016-06-18,"First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"east","technology","accessories","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",30,2,0,3.3,11,1,30
"61",2016-06-17,2016-06-18,"First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"east","office supplies","binders","Plastic Binding Combs",48.48,4,0.2,16.362,34,1,38.784
"62",2016-06-17,2016-06-18,"First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"east","office supplies","art","Prang Dustless Chalk Sticks",1.68,1,0,0.84,50,1,1.68
"63",2015-11-24,2015-11-30,"Standard Class","Kunst Miller","Consumer","United States","Los Angeles","California",90004,"west","technology","accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512,44,6,13.98
"64",2015-11-24,2015-11-30,"Standard Class","Kunst Miller","Consumer","United States","Los Angeles","California",90004,"west","office supplies","binders","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,36,6,20.6592
"65",2015-11-24,2015-11-30,"Standard Class","Kunst Miller","Consumer","United States","Los Angeles","California",90004,"west","office supplies","paper","Xerox 1943",146.73,3,0,68.9631,47,6,146.73
"66",2015-11-24,2015-11-30,"Standard Class","Kunst Miller","Consumer","United States","Los Angeles","California",90004,"west","furniture","furnishings","Luxo Economy Swing Arm Lamp",79.76,4,0,22.3328,28,6,79.76
"67",2015-04-30,2015-05-05,"Standard Class","Paul Stevenson","Home Office","United States","Chicago","Illinois",60610,"central","furniture","chairs","Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,-7,5,149.1805
"68",2014-12-05,2014-12-10,"Standard Class","Brendan Sweed","Corporate","United States","Gilbert","Arizona",85234,"west","office supplies","art","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,10,5,890.4192
"69",2014-12-05,2014-12-10,"Standard Class","Brendan Sweed","Corporate","United States","Gilbert","Arizona",85234,"west","technology","phones","netTALK DUO VoIP Telephone Service",167.968,4,0.2,62.988,38,5,134.3744
"70",2016-06-04,2016-06-06,"First Class","Karen Daniels","Consumer","United States","Springfield","Virginia",22153,"south","office supplies","paper","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,47,2,75.88
"71",2016-09-18,2016-09-23,"Standard Class","Henry MacAllister","Consumer","United States","New York City","New York",10009,"east","office supplies","binders","Avery Binding System Hidden Tab Executive Style Index Sets",4.616,1,0.2,1.731,38,5,3.6928
"72",2017-09-14,2017-09-17,"Second Class","Tracy Blumstein","Consumer","United States","Jackson","Michigan",49201,"central","office supplies","paper","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763,46,3,19.05
"73",2015-04-26,2015-05-02,"Standard Class","Joel Eaton","Consumer","United States","Memphis","Tennessee",38109,"south","furniture","chairs","High-Back Leather Manager's Chair",831.936,8,0.2,-114.3912,-14,6,665.5488
"74",2015-04-26,2015-05-02,"Standard Class","Joel Eaton","Consumer","United States","Memphis","Tennessee",38109,"south","furniture","furnishings","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,1,6,77.632
"75",2015-04-26,2015-05-02,"Standard Class","Joel Eaton","Consumer","United States","Memphis","Tennessee",38109,"south","office supplies","storage","Safco Industrial Wire Shelving System",72.784,1,0.2,-18.196,-25,6,58.2272
"76",2017-12-09,2017-12-11,"First Class","Ken Brennan","Corporate","United States","Houston","Texas",77041,"central","office supplies","binders","Economy Binders",1.248,3,0.8,-1.9344,-155,2,0.2496
"77",2017-12-09,2017-12-11,"First Class","Ken Brennan","Corporate","United States","Houston","Texas",77041,"central","furniture","furnishings","6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,-60,2,3.8832
"78",2017-12-09,2017-12-11,"First Class","Ken Brennan","Corporate","United States","Houston","Texas",77041,"central","office supplies","storage","SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,10,2,21.792
"79",2014-11-26,2014-12-01,"Second Class","Joel Eaton","Consumer","United States","Houston","Texas",77070,"central","furniture","furnishings","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,-75,5,7.72
"80",2016-06-12,2016-06-15,"First Class","Stewart Carmichael","Corporate","United States","Decatur","Alabama",35601,"south","office supplies","appliances","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032,27,3,208.16
"81",2016-06-12,2016-06-15,"First Class","Stewart Carmichael","Corporate","United States","Decatur","Alabama",35601,"south","office supplies","binders","Avery Heavy-Duty EZD  Binder With Locking Rings",16.74,3,0,8.0352,48,3,16.74
"82",2014-10-12,2014-10-16,"Standard Class","Duane Noonan","Consumer","United States","San Francisco","California",94122,"west","office supplies","art","Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172,28,4,14.9
"83",2014-10-12,2014-10-16,"Standard Class","Duane Noonan","Consumer","United States","San Francisco","California",94122,"west","office supplies","storage","Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031,29,4,21.39
"84",2015-09-03,2015-09-08,"Standard Class","Julie Creighton","Corporate","United States","Durham","North Carolina",27707,"south","office supplies","envelopes","Jet-Pak Recycled Peel 'N' Seal Padded Mailers",200.984,7,0.2,62.8075,31,5,160.7872
"85",2017-11-13,2017-11-16,"First Class","Christopher Schild","Home Office","United States","Chicago","Illinois",60623,"central","office supplies","storage","Safco Industrial Wire Shelving",230.376,3,0.2,-48.9549,-21,3,184.3008
"86",2017-05-28,2017-05-30,"Second Class","Patrick O'Donnell","Consumer","United States","Columbia","South Carolina",29203,"south","furniture","chairs","Novimex Swivel Fabric Task Chair",301.96,2,0,33.2156,11,2,301.96
"87",2017-10-26,2017-11-02,"Standard Class","Paul Gonzalez","Consumer","United States","Rochester","Minnesota",55901,"central","technology","accessories","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99,1,0,6.7966,34,7,19.99
"88",2017-10-26,2017-11-02,"Standard Class","Paul Gonzalez","Consumer","United States","Rochester","Minnesota",55901,"central","office supplies","labels","Avery 511",6.16,2,0,2.9568,48,7,6.16
"89",2016-04-05,2016-04-10,"Second Class","Gary Mitchum","Home Office","United States","Houston","Texas",77095,"central","office supplies","storage","Eldon Portable Mobile Manager",158.368,7,0.2,13.8572,9,5,126.6944
"90",2016-09-17,2016-09-22,"Standard Class","Jim Sink","Corporate","United States","Los Angeles","California",90036,"west","office supplies","art","Turquoise Lead Holder with Pocket Clip",20.1,3,0,6.633,33,5,20.1
"91",2016-09-17,2016-09-22,"Standard Class","Jim Sink","Corporate","United States","Los Angeles","California",90036,"west","technology","phones","Panasonic Kx-TS550",73.584,2,0.2,8.2782,11,5,58.8672
"92",2016-09-17,2016-09-22,"Standard Class","Jim Sink","Corporate","United States","Los Angeles","California",90036,"west","office supplies","paper","Xerox 1995",6.48,1,0,3.1104,48,5,6.48
"93",2015-01-31,2015-02-05,"Second Class","Karl Braun","Consumer","United States","Minneapolis","Minnesota",55407,"central","office supplies","paper","Xerox 1999",12.96,2,0,6.2208,48,5,12.96
"94",2015-01-31,2015-02-05,"Second Class","Karl Braun","Consumer","United States","Minneapolis","Minnesota",55407,"central","furniture","furnishings","Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354,31,5,53.34
"95",2015-01-31,2015-02-05,"Second Class","Karl Braun","Consumer","United States","Minneapolis","Minnesota",55407,"central","office supplies","binders","Ibico Standard Transparent Covers",32.96,2,0,16.1504,49,5,32.96
"96",2017-11-06,2017-11-12,"Standard Class","Roger Barcio","Home Office","United States","Portland","Oregon",97206,"west","office supplies","binders","Flexible Leather- Look Classic Collection Ring Binder",5.682,1,0.7,-3.788,-67,6,1.7046
"97",2017-11-09,2017-11-11,"Second Class","Parhena Norris","Home Office","United States","New York City","New York",10009,"east","furniture","furnishings","9-3/4 Diameter Round Wall Clock",96.53,7,0,40.5426,42,2,96.53
"98",2017-06-17,2017-06-20,"First Class","Katherine Ducich","Consumer","United States","San Francisco","California",94122,"west","office supplies","binders","Trimflex Flexible Post Binders",51.312,3,0.2,17.9592,35,3,41.0496
"99",2016-09-06,2016-09-11,"Standard Class","Elpida Rittenbach","Corporate","United States","Saint Paul","Minnesota",55106,"central","office supplies","appliances","Fellowes Basic Home/Office Series Surge Protectors",77.88,6,0,22.5852,29,5,77.88
"100",2016-08-29,2016-09-02,"Standard Class","Rick Bensley","Home Office","United States","Chicago","Illinois",60610,"central","office supplies","paper","Avery Personal Creations Heavyweight Cards",64.624,7,0.2,22.6184,35,4,51.6992
"101",2016-08-29,2016-09-02,"Standard Class","Rick Bensley","Home Office","United States","Chicago","Illinois",60610,"central","technology","accessories","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",95.976,3,0.2,-10.7973,-11,4,76.7808
"102",2016-08-29,2016-09-02,"Standard Class","Rick Bensley","Home Office","United States","Chicago","Illinois",60610,"central","office supplies","binders","Avery Hidden Tab Dividers for Binding Systems",1.788,3,0.8,-3.0396,-170,4,0.3576
"103",2016-12-01,2016-12-04,"Second Class","Gary Zandusky","Consumer","United States","Rochester","Minnesota",55901,"central","office supplies","paper","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",23.92,4,0,11.7208,49,3,23.92
"104",2015-11-13,2015-11-17,"Standard Class","Lena Cacioppo","Consumer","United States","Aurora","Colorado",80013,"west","technology","accessories","Logitech K350 2.4Ghz Wireless Keyboard",238.896,6,0.2,-26.8758,-11,4,191.1168
"105",2015-11-13,2015-11-17,"Standard Class","Lena Cacioppo","Consumer","United States","Aurora","Colorado",80013,"west","furniture","furnishings","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385,-4,4,81.888
"106",2015-11-13,2015-11-17,"Standard Class","Lena Cacioppo","Consumer","United States","Aurora","Colorado",80013,"west","office supplies","binders","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174,-70,4,11.0646
"107",2017-11-23,2017-11-28,"Standard Class","Janet Martin","Consumer","United States","Charlotte","North Carolina",28205,"south","technology","accessories","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",74.112,8,0.2,17.6016,24,5,59.2896
"108",2017-11-23,2017-11-28,"Standard Class","Janet Martin","Consumer","United States","Charlotte","North Carolina",28205,"south","technology","phones","Speck Products Candyshell Flip Case",27.992,1,0.2,2.0994,7,5,22.3936
"109",2017-11-23,2017-11-28,"Standard Class","Janet Martin","Consumer","United States","Charlotte","North Carolina",28205,"south","office supplies","art","Newell Chalk Holder",3.304,1,0.2,1.0738,33,5,2.6432
"110",2015-10-15,2015-10-20,"Standard Class","Pete Armstrong","Home Office","United States","Orland Park","Illinois",60462,"central","technology","accessories","Logitech Gaming G510s - Keyboard",339.96,5,0.2,67.992,20,5,271.968
"111",2017-12-25,2017-12-30,"Standard Class","Cynthia Voltz","Corporate","United States","New York City","New York",10035,"east","furniture","furnishings","Magnifier Swing Arm Lamp",41.96,2,0,10.9096,26,5,41.96
"112",2016-11-03,2016-11-10,"Standard Class","Clay Ludtke","Consumer","United States","Urbandale","Iowa",50322,"central","office supplies","art","Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788,30,7,75.96
"113",2016-11-03,2016-11-10,"Standard Class","Clay Ludtke","Consumer","United States","Urbandale","Iowa",50322,"central","office supplies","binders","Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476,49,7,27.24
"114",2014-08-25,2014-08-27,"Second Class","Ryan Crowe","Consumer","United States","Columbus","Ohio",43229,"east","office supplies","fasteners","OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348,36,2,32.0768
"115",2014-08-25,2014-08-27,"Second Class","Ryan Crowe","Consumer","United States","Columbus","Ohio",43229,"east","office supplies","envelopes","Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652,35,2,3.776
"116",2014-08-25,2014-08-27,"Second Class","Ryan Crowe","Consumer","United States","Columbus","Ohio",43229,"east","office supplies","paper","Xerox 1921",23.976,3,0.2,7.4925,31,2,19.1808
"117",2014-08-25,2014-08-27,"Second Class","Ryan Crowe","Consumer","United States","Columbus","Ohio",43229,"east","office supplies","envelopes","Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316,34,2,104.3712
"118",2015-03-02,2015-03-06,"Standard Class","Dave Kipp","Consumer","United States","Seattle","Washington",98103,"west","furniture","tables","Hon Racetrack Conference Tables",787.53,3,0,165.3813,21,4,787.53
"119",2015-04-05,2015-04-10,"Standard Class","Greg Guthrie","Corporate","United States","Bristol","Tennessee",37620,"south","office supplies","binders","GBC DocuBind 300 Electric Binding Machine",157.794,1,0.7,-115.7156,-73,5,47.3382
"120",2016-06-12,2016-06-15,"First Class","Steven Cartwright","Consumer","United States","Wilmington","Delaware",19805,"east","furniture","furnishings","Artistic Insta-Plaque",47.04,3,0,18.3456,39,3,47.04
"121",2016-06-12,2016-06-15,"First Class","Steven Cartwright","Consumer","United States","Wilmington","Delaware",19805,"east","office supplies","binders","DXL Angle-View Binders with Locking Rings by Samsill",30.84,4,0,13.878,45,3,30.84
"122",2016-06-12,2016-06-15,"First Class","Steven Cartwright","Consumer","United States","Wilmington","Delaware",19805,"east","office supplies","storage","Companion Letter/Legal File, Black",226.56,6,0,63.4368,28,3,226.56
"123",2016-06-12,2016-06-15,"First Class","Steven Cartwright","Consumer","United States","Wilmington","Delaware",19805,"east","office supplies","envelopes","Globe Weis Peel & Seel First Class Envelopes",115.02,9,0,51.759,45,3,115.02
"124",2016-06-12,2016-06-15,"First Class","Steven Cartwright","Consumer","United States","Wilmington","Delaware",19805,"east","technology","phones","KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7",68.04,7,0,19.7316,29,3,68.04
"125",2014-12-26,2014-12-28,"Second Class","Alan Dominguez","Home Office","United States","Houston","Texas",77041,"central","furniture","chairs","Global Deluxe High-Back Manager's Chair",600.558,3,0.3,-8.5794,-1,2,420.3906
"126",2014-09-20,2014-09-25,"Standard Class","Philip Fox","Consumer","United States","Bloomington","Illinois",61701,"central","furniture","tables","Bevis 44 x 96 Conference Tables",617.7,6,0.5,-407.682,-66,5,308.85
